,ds,y
114049,2010-02-05,383.0
114050,2010-02-12,537.0
114051,2010-02-19,552.0
114052,2010-02-26,324.0
114053,2010-03-05,249.0
114054,2010-03-12,220.0
114055,2010-03-19,404.0
114056,2010-03-26,449.0
114057,2010-04-02,525.0
114058,2010-04-09,322.0
114059,2010-04-16,267.0
114060,2010-04-23,327.0
114061,2010-04-30,220.0
114062,2010-05-07,378.0
114063,2010-05-14,467.0
114064,2010-05-21,206.0
114065,2010-05-28,234.0
114066,2010-06-04,85.0
114067,2010-06-11,254.0
114068,2010-06-18,319.0
114069,2010-06-25,277.0
114070,2010-07-02,320.0
114071,2010-07-09,425.0
114072,2010-07-16,182.0
114073,2010-07-23,456.0
114074,2010-07-30,205.0
114075,2010-08-06,201.0
114076,2010-08-13,151.0
114077,2010-08-20,256.0
114078,2010-08-27,203.0
114079,2010-09-03,337.0
114080,2010-09-10,100.0
114081,2010-09-17,167.0
114082,2010-09-24,156.0
114083,2010-10-01,65.0
114084,2010-10-08,115.84
114085,2010-10-15,229.36
114086,2010-10-22,15.0
114087,2010-10-29,108.92
114088,2010-11-05,134.76
114089,2010-11-12,122.84
114090,2010-11-19,149.52
114091,2010-11-26,27.0
114092,2010-12-03,51.84
114093,2010-12-10,18.0
114094,2010-12-17,277.76
114095,2010-12-24,351.98
114096,2010-12-31,231.76
114097,2011-01-07,2.08
114098,2011-01-14,38.92
114099,2011-01-21,31.8
114100,2011-01-28,47.72
114101,2011-02-04,55.92
114102,2011-02-11,214.94
114103,2011-02-18,130.6
114104,2011-02-25,61.84
114105,2011-03-04,45.92
114106,2011-03-11,92.76
114107,2011-03-18,68.84
114108,2011-03-25,25.92
114109,2011-04-01,35.92
114110,2011-04-08,66.84
114111,2011-04-15,81.84
114112,2011-04-22,20.0
114113,2011-04-29,73.6
114114,2011-05-06,35.92
114115,2011-05-13,185.48
114116,2011-05-20,25.92
114117,2011-05-27,86.84
114118,2011-06-03,77.08
114119,2011-06-10,51.16
114120,2011-06-17,110.68
114121,2011-06-24,159.68
114122,2011-07-01,29.24
114123,2011-07-08,38.16
114124,2011-07-15,69.92
114125,2011-07-22,0.0
114126,2011-07-29,129.0
114127,2011-08-12,67.84
114128,2011-08-19,67.84
114129,2011-08-26,122.8
114130,2011-09-02,44.08
114131,2011-09-09,48.16
114132,2011-09-16,44.04
114133,2011-09-23,135.92
114134,2011-09-30,40.0
114135,2011-10-07,55.16
114136,2011-10-14,79.42
114137,2011-10-21,82.58
114138,2011-10-28,94.96
114139,2011-11-04,64.04
114140,2011-11-11,38.16
114141,2011-11-25,67.84
114142,2011-12-02,28.92
114143,2011-12-09,47.84
114144,2011-12-16,116.76
114145,2011-12-23,253.92
114146,2011-12-30,136.96
114147,2012-01-06,69.12
114148,2012-01-20,55.16
114149,2012-01-27,5.0
114150,2012-02-03,103.16
114151,2012-02-10,30.0
114152,2012-02-17,194.44
114153,2012-02-24,43.84
114154,2012-03-02,77.72
114155,2012-03-09,113.56
114156,2012-03-16,63.72
114157,2012-03-23,38.92
114158,2012-03-30,28.92
114159,2012-04-06,29.88
114160,2012-04-13,38.92
114161,2012-04-20,0.0
114162,2012-04-27,20.88
114163,2012-05-04,94.8
114164,2012-05-11,67.84
114165,2012-05-18,58.92
114166,2012-05-25,76.72
114167,2012-06-08,59.84
114168,2012-06-22,5.88
114169,2012-06-29,34.8
114170,2012-07-06,20.0
114171,2012-07-13,57.84
114172,2012-07-20,28.92
114173,2012-08-03,45.8
114174,2012-08-17,43.92
114175,2012-08-24,23.92
114176,2012-08-31,15.88
114177,2012-09-07,81.76
114178,2012-09-14,10.0
114179,2012-09-21,16.92
114180,2012-09-28,5.88
114181,2012-10-05,104.64
114182,2012-10-12,30.92
114183,2012-10-19,-22.92
114184,2012-10-26,76.76
