,ds,y
121298,2010-02-05,1871.32
121299,2010-02-12,2294.9
121300,2010-02-19,1924.85
121301,2010-02-26,2021.98
121302,2010-03-05,2063.75
121303,2010-03-12,2160.29
121304,2010-03-19,2024.01
121305,2010-03-26,1803.88
121306,2010-04-02,1794.64
121307,2010-04-09,1426.01
121308,2010-04-16,1686.08
121309,2010-04-23,1632.78
121310,2010-04-30,1610.62
121311,2010-05-07,1635.21
121312,2010-05-14,1270.01
121313,2010-05-21,1253.92
121314,2010-05-28,1255.9
121315,2010-06-04,1143.55
121316,2010-06-11,962.26
121317,2010-06-18,881.27
121318,2010-06-25,1097.75
121319,2010-07-02,912.72
121320,2010-07-09,739.29
121321,2010-07-16,914.07
121322,2010-07-23,813.59
121323,2010-07-30,873.9
121324,2010-08-06,923.99
121325,2010-08-13,1008.81
121326,2010-08-20,822.12
121327,2010-08-27,882.34
121328,2010-09-03,898.29
121329,2010-09-10,1130.07
121330,2010-09-17,1168.49
121331,2010-09-24,1187.1
121332,2010-10-01,1160.26
121333,2010-10-08,1208.02
121334,2010-10-15,1740.55
121335,2010-10-22,1864.35
121336,2010-10-29,2580.59
121337,2010-11-05,1687.49
121338,2010-11-12,1619.18
121339,2010-11-19,1965.04
121340,2010-11-26,1847.04
121341,2010-12-03,2002.26
121342,2010-12-10,2591.24
121343,2010-12-17,2195.9
121344,2010-12-24,2256.39
121345,2010-12-31,1204.49
121346,2011-01-07,1702.01
121347,2011-01-14,1635.31
121348,2011-01-21,1663.25
121349,2011-01-28,1751.57
121350,2011-02-04,1815.44
121351,2011-02-11,2044.19
121352,2011-02-18,1987.52
121353,2011-02-25,1871.11
121354,2011-03-04,1967.71
121355,2011-03-11,1793.77
121356,2011-03-18,1456.39
121357,2011-03-25,1446.79
121358,2011-04-01,1451.44
121359,2011-04-08,1156.21
121360,2011-04-15,1449.11
121361,2011-04-22,1632.94
121362,2011-04-29,1619.53
121363,2011-05-06,1426.47
121364,2011-05-13,1281.92
121365,2011-05-20,1193.65
121366,2011-05-27,1150.4
121367,2011-06-03,1216.6
121368,2011-06-10,1071.58
121369,2011-06-17,895.25
121370,2011-06-24,864.17
121371,2011-07-01,867.31
121372,2011-07-08,900.49
121373,2011-07-15,762.13
121374,2011-07-22,879.33
121375,2011-07-29,925.53
121376,2011-08-05,971.86
121377,2011-08-12,939.51
121378,2011-08-19,1007.0
121379,2011-08-26,911.5
121380,2011-09-02,783.51
121381,2011-09-09,970.93
121382,2011-09-16,937.82
121383,2011-09-23,1009.96
121384,2011-09-30,1245.21
121385,2011-10-07,1259.88
121386,2011-10-14,1567.7
121387,2011-10-21,1753.27
121388,2011-10-28,2001.11
121389,2011-11-04,2251.49
121390,2011-11-11,1850.36
121391,2011-11-18,1814.36
121392,2011-11-25,1543.47
121393,2011-12-02,1711.6
121394,2011-12-09,2298.03
121395,2011-12-16,2210.77
121396,2011-12-23,2558.16
121397,2011-12-30,1370.59
121398,2012-01-06,1369.32
121399,2012-01-13,1793.18
121400,2012-01-20,1549.97
121401,2012-01-27,1550.12
121402,2012-02-03,1717.09
121403,2012-02-10,1769.82
121404,2012-02-17,1758.34
121405,2012-02-24,1690.75
121406,2012-03-02,1707.16
121407,2012-03-09,1507.89
121408,2012-03-16,1448.19
121409,2012-03-23,1446.38
121410,2012-03-30,1406.54
121411,2012-04-06,1497.8
121412,2012-04-13,1503.56
121413,2012-04-20,1346.73
121414,2012-04-27,1274.17
121415,2012-05-04,1431.4
121416,2012-05-11,1090.98
121417,2012-05-18,1337.83
121418,2012-05-25,1013.79
121419,2012-06-01,1011.75
121420,2012-06-08,1027.79
121421,2012-06-15,1018.4
121422,2012-06-22,916.14
121423,2012-06-29,855.9
121424,2012-07-06,745.28
121425,2012-07-13,871.98
121426,2012-07-20,921.11
121427,2012-07-27,814.21
121428,2012-08-03,762.02
121429,2012-08-10,865.07
121430,2012-08-17,847.94
121431,2012-08-24,615.4
121432,2012-08-31,674.61
121433,2012-09-07,911.88
121434,2012-09-14,1080.94
121435,2012-09-21,977.96
121436,2012-09-28,1193.54
121437,2012-10-05,1350.92
121438,2012-10-12,1047.08
121439,2012-10-19,2054.61
121440,2012-10-26,3049.99
