,ds,y
302357,2010-02-05,7603.59
302358,2010-02-12,8561.7
302359,2010-02-19,9020.85
302360,2010-02-26,8017.89
302361,2010-03-05,7251.55
302362,2010-03-12,7637.24
302363,2010-03-19,7258.59
302364,2010-03-26,6738.96
302365,2010-04-02,7266.99
302366,2010-04-09,6643.93
302367,2010-04-16,7037.23
302368,2010-04-23,6278.7
302369,2010-04-30,6561.34
302370,2010-05-07,5470.8
302371,2010-05-14,5661.68
302372,2010-05-21,6373.36
302373,2010-05-28,6203.27
302374,2010-06-04,8116.01
302375,2010-06-11,8911.27
302376,2010-06-18,6254.82
302377,2010-06-25,7200.47
302378,2010-07-02,9479.42
302379,2010-07-09,7654.6
302380,2010-07-16,7118.36
302381,2010-07-23,9194.31
302382,2010-07-30,8092.05
302383,2010-08-06,10101.33
302384,2010-08-13,7462.26
302385,2010-08-20,10548.65
302386,2010-08-27,7683.91
302387,2010-09-03,7926.37
302388,2010-09-10,6847.38
302389,2010-09-17,8557.23
302390,2010-09-24,8711.34
302391,2010-10-01,7524.71
302392,2010-10-08,7496.48
302393,2010-10-15,6446.59
302394,2010-10-22,6398.52
302395,2010-10-29,7999.31
302396,2010-11-05,7308.74
302397,2010-11-12,6755.87
302398,2010-11-19,7174.39
302399,2010-11-26,8066.06
302400,2010-12-03,7974.72
302401,2010-12-10,7067.37
302402,2010-12-17,7291.64
302403,2010-12-24,10638.88
302404,2010-12-31,6424.57
302405,2011-01-07,8432.5
302406,2011-01-14,6091.62
302407,2011-01-21,7056.29
302408,2011-01-28,8971.94
302409,2011-02-04,7180.21
302410,2011-02-11,8303.19
302411,2011-02-18,6947.36
302412,2011-02-25,8220.65
302413,2011-03-04,7728.72
302414,2011-03-11,8460.48
302415,2011-03-18,8716.21
302416,2011-03-25,7524.57
302417,2011-04-01,8108.95
302418,2011-04-08,8531.44
302419,2011-04-15,8118.88
302420,2011-04-22,7836.78
302421,2011-04-29,8554.39
302422,2011-05-06,7012.99
302423,2011-05-13,8979.02
302424,2011-05-20,9443.68
302425,2011-05-27,8633.63
302426,2011-06-03,7799.34
302427,2011-06-10,7928.12
302428,2011-06-17,10074.56
302429,2011-06-24,9141.74
302430,2011-07-01,8974.29
302431,2011-07-08,9383.89
302432,2011-07-15,7859.74
302433,2011-07-22,10115.82
302434,2011-07-29,8208.61
302435,2011-08-05,8815.58
302436,2011-08-12,9327.63
302437,2011-08-19,8195.37
302438,2011-08-26,7851.2
302439,2011-09-02,8773.53
302440,2011-09-09,8688.59
302441,2011-09-16,7685.85
302442,2011-09-23,9662.72
302443,2011-09-30,8120.31
302444,2011-10-07,9404.83
302445,2011-10-14,8900.07
302446,2011-10-21,7785.33
302447,2011-10-28,8625.02
302448,2011-11-04,8819.89
302449,2011-11-11,9122.18
302450,2011-11-18,8376.44
302451,2011-11-25,9806.87
302452,2011-12-02,10105.19
302453,2011-12-09,8758.55
302454,2011-12-16,9142.76
302455,2011-12-23,12395.77
302456,2011-12-30,8189.07
302457,2012-01-06,8932.17
302458,2012-01-13,8057.49
302459,2012-01-20,8062.08
302460,2012-01-27,6899.8
302461,2012-02-03,9101.44
302462,2012-02-10,9407.84
302463,2012-02-17,8660.73
302464,2012-02-24,9402.67
302465,2012-03-02,10945.62
302466,2012-03-09,9226.77
302467,2012-03-16,11464.01
302468,2012-03-23,7576.41
302469,2012-03-30,8254.21
302470,2012-04-06,7749.3
302471,2012-04-13,9505.46
302472,2012-04-20,9154.22
302473,2012-04-27,8592.64
302474,2012-05-04,10206.55
302475,2012-05-11,9807.58
302476,2012-05-18,11322.02
302477,2012-05-25,9824.97
302478,2012-06-01,7866.1
302479,2012-06-08,10157.36
302480,2012-06-15,11063.2
302481,2012-06-22,10452.69
302482,2012-06-29,9823.13
302483,2012-07-06,9984.51
302484,2012-07-13,10014.95
302485,2012-07-20,9897.28
302486,2012-07-27,8531.8
302487,2012-08-03,10258.23
302488,2012-08-10,8698.31
302489,2012-08-17,8805.73
302490,2012-08-24,9436.8
302491,2012-08-31,9915.68
302492,2012-09-07,9639.01
302493,2012-09-14,9191.0
302494,2012-09-21,7984.65
302495,2012-09-28,7279.9
302496,2012-10-05,9008.09
302497,2012-10-12,9105.53
302498,2012-10-19,8477.91
302499,2012-10-26,13224.92
